"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	"2001"	"2001"	1841	118924	1548.0	1477.3	1618.8	36.1
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	"2002"	"2002"	1826	130446	1399.8	1335.6	1464.0	32.8
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	"2003"	"2003"	1909	128575	1484.7	1418.1	1551.3	34.0
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	"2004"	"2004"	1912	133245	1435.0	1370.6	1499.3	32.8
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	"2005"	"2005"	1977	144842	1364.9	1304.8	1425.1	30.7
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	"2006"	"2006"	1887	144125	1309.3	1250.2	1368.4	30.1
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	"2007"	"2007"	1889	151818	1244.3	1188.1	1300.4	28.6
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	"2008"	"2008"	1947	150894	1290.3	1233.0	1347.6	29.2
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	"2009"	"2009"	2176	182991	1189.1	1139.2	1239.1	25.5
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	"2010"	"2010"	2363	190971	1237.4	1187.5	1287.3	25.5
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	"2011"	"2011"	2371	200118	1184.8	1137.1	1232.5	24.3
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	"2012"	"2012"	2445	212738	1149.3	1103.7	1194.9	23.2
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	"2013"	"2013"	2570	217827	1179.8	1134.2	1225.5	23.3
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	"2014"	"2014"	2622	217596	1205.0	1158.9	1251.1	23.5
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	"2015"	"2015"	2749	226721	1212.5	1167.2	1257.8	23.1
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	"2016"	"2016"	2964	239454	1237.8	1193.3	1282.4	22.7
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	"2017"	"2017"	2945	251653	1170.3	1128.0	1212.5	21.6
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	"2018"	"2018"	3119	255243	1222.0	1179.1	1264.9	21.9
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	"2019"	"2019"	3263	263838	1236.7	1194.3	1279.2	21.7
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	"2020 "	"2020"	3819	262530	1454.7	1408.6	1500.8	23.5
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	"1999"	"1999"	1844	112502	1639.1	1564.3	1713.9	38.2
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	"2000"	"2000"	1874	111944	1674.1	1598.3	1749.8	38.7
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	"2001"	"2001"	1892	118589	1595.4	1523.5	1667.3	36.7
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	"2002"	"2002"	1878	117872	1593.3	1521.2	1665.3	36.8
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	"2003"	"2003"	1955	129425	1510.5	1443.6	1577.5	34.2
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	"2004"	"2004"	1884	127608	1476.4	1409.7	1543.1	34.0
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	"2005"	"2005"	1960	132283	1481.7	1416.1	1547.3	33.5
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	"2006"	"2006"	2033	144008	1411.7	1350.4	1473.1	31.3
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	"2007"	"2007"	1923	143478	1340.3	1280.4	1400.2	30.6
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	"2008"	"2008"	1981	151305	1309.3	1251.6	1366.9	29.4
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	"2009"	"2009"	1953	150514	1297.6	1240.0	1355.1	29.4
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	"2010"	"2010"	2248	174577	1287.7	1234.5	1340.9	27.2
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	"2011"	"2011"	2391	189919	1259.0	1208.5	1309.4	25.7
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	"2012"	"2012"	2390	198049	1206.8	1158.4	1255.2	24.7
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	"2013"	"2013"	2591	210488	1230.9	1183.6	1278.3	24.2
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	"2014"	"2014"	2761	215541	1281.0	1233.2	1328.7	24.4
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	"2015"	"2015"	2770	215183	1287.3	1239.3	1335.2	24.5
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	"2016"	"2016"	2865	223857	1279.8	1233.0	1326.7	23.9
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	"2017"	"2017"	3019	237281	1272.3	1226.9	1317.7	23.2
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	"2018"	"2018"	3140	248094	1265.6	1221.4	1309.9	22.6
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	"2019"	"2019"	3217	252237	1275.4	1231.3	1319.5	22.5
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	"2020 "	"2020"	4182	260334	1606.4	1557.7	1655.1	24.8
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	"1999"	"1999"	1983	113091	1753.5	1676.3	1830.6	39.4
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	"2000"	"2000"	2076	114098	1819.5	1741.2	1897.8	39.9
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	"2001"	"2001"	2015	111685	1804.2	1725.4	1883.0	40.2
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	"2002"	"2002"	1951	116810	1670.2	1596.1	1744.3	37.8
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	"2003"	"2003"	1986	115848	1714.3	1638.9	1789.7	38.5
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	"2004"	"2004"	1989	127071	1565.3	1496.5	1634.1	35.1
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	"2005"	"2005"	2071	125054	1656.1	1584.8	1727.4	36.4
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	"2006"	"2006"	1988	129352	1536.9	1469.3	1604.5	34.5
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	"2007"	"2007"	2078	140677	1477.1	1413.6	1540.7	32.4
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	"2008"	"2008"	2074	139907	1482.4	1418.6	1546.2	32.6
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	"2009"	"2009"	2070	147262	1405.7	1345.1	1466.2	30.9
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	"2010"	"2010"	1995	146241	1364.2	1304.3	1424.0	30.5
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	"2011"	"2011"	2414	180066	1340.6	1287.1	1394.1	27.3
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	"2012"	"2012"	2373	187816	1263.5	1212.6	1314.3	25.9
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	"2013"	"2013"	2646	196029	1349.8	1298.4	1401.2	26.2
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	"2014"	"2014"	2769	208343	1329.1	1279.6	1378.6	25.3
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	"2015"	"2015"	2836	212967	1331.7	1282.7	1380.7	25.0
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	"2016"	"2016"	2914	212219	1373.1	1323.3	1423.0	25.4
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	"2017"	"2017"	3080	221789	1388.7	1339.7	1437.8	25.0
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	"2018"	"2018"	3242	233901	1386.1	1338.3	1433.8	24.3
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	"2019"	"2019"	3170	245060	1293.6	1248.5	1338.6	23.0
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	"2020 "	"2020"	4206	248686	1691.3	1640.2	1742.4	26.1
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	"1999"	"1999"	2147	108528	1978.3	1894.6	2062.0	42.7
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	"2000"	"2000"	2081	112587	1848.3	1768.9	1927.8	40.5
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	"2001"	"2001"	2038	111793	1823.0	1743.9	1902.2	40.4
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	"2002"	"2002"	2005	110472	1814.9	1735.5	1894.4	40.5
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	"2003"	"2003"	2114	115668	1827.6	1749.7	1905.6	39.8
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	"2004"	"2004"	1992	114956	1732.8	1656.7	1808.9	38.8
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	"2005"	"2005"	2055	126347	1626.5	1556.2	1696.8	35.9
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	"2006"	"2006"	2070	124478	1662.9	1591.3	1734.6	36.6
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	"2007"	"2007"	2051	128983	1590.1	1521.3	1659.0	35.1
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	"2008"	"2008"	2233	140541	1588.9	1523.0	1654.8	33.6
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	"2009"	"2009"	2158	139962	1541.8	1476.8	1606.9	33.2
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	"2010"	"2010"	2129	146443	1453.8	1392.1	1515.6	31.5
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	"2011"	"2011"	2148	144770	1483.7	1421.0	1546.5	32.0
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	"2012"	"2012"	2492	177990	1400.1	1345.1	1455.0	28.0
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	"2013"	"2013"	2631	185861	1415.6	1361.5	1469.7	27.6
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	"2014"	"2014"	2836	193770	1463.6	1409.7	1517.5	27.5
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	"2015"	"2015"	2848	205698	1384.6	1333.7	1435.4	25.9
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	"2016"	"2016"	3006	209858	1432.4	1381.2	1483.6	26.1
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	"2017"	"2017"	3189	210107	1517.8	1465.1	1570.5	26.9
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	"2018"	"2018"	3211	218445	1469.9	1419.1	1520.8	25.9
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	"2019"	"2019"	3301	230639	1431.2	1382.4	1480.1	24.9
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	"2020 "	"2020"	4367	241521	1808.1	1754.5	1861.8	27.4
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	"1999"	"1999"	2297	105691	2173.3	2084.4	2262.2	45.3
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	"2000"	"2000"	2175	102715	2117.5	2028.5	2206.5	45.4
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	"2001"	"2001"	2257	111807	2018.7	1935.4	2101.9	42.5
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	"2002"	"2002"	2173	110170	1972.4	1889.5	2055.3	42.3
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	"2003"	"2003"	2057	108883	1889.2	1807.5	1970.8	41.7
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	"2004"	"2004"	2056	113959	1804.2	1726.2	1882.1	39.8
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	"2005"	"2005"	2011	113303	1774.9	1697.3	1852.5	39.6
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	"2006"	"2006"	2059	124590	1652.6	1581.2	1724.0	36.4
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	"2007"	"2007"	2101	122668	1712.8	1639.5	1786.0	37.4
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	"2008"	"2008"	2119	127119	1666.9	1596.0	1737.9	36.2
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	"2009"	"2009"	2185	138476	1577.9	1511.7	1644.1	33.8
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	"2010"	"2010"	2227	137560	1618.9	1551.7	1686.2	34.3
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	"2011"	"2011"	2255	144659	1558.8	1494.5	1623.2	32.8
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	"2012"	"2012"	2113	142988	1477.7	1414.7	1540.8	32.1
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	"2013"	"2013"	2555	175925	1452.3	1396.0	1508.6	28.7
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	"2014"	"2014"	2818	183418	1536.4	1479.7	1593.1	28.9
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	"2015"	"2015"	2882	191182	1507.5	1452.4	1562.5	28.1
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	"2016"	"2016"	3157	202504	1559.0	1504.6	1613.4	27.7
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	"2017"	"2017"	3224	207544	1553.4	1499.8	1607.0	27.4
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	"2018"	"2018"	3300	206704	1596.5	1542.0	1651.0	27.8
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	"2019"	"2019"	3239	215044	1506.2	1454.3	1558.1	26.5
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	"2020 "	"2020"	4477	227228	1970.3	1912.6	2028.0	29.4
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	"1999"	"1999"	2241	105244	2129.3	2041.2	2217.5	45.0
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	"2000"	"2000"	2364	104831	2255.1	2164.2	2346.0	46.4
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	"2001"	"2001"	2215	102185	2167.6	2077.4	2257.9	46.1
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	"2002"	"2002"	2279	110024	2071.4	1986.3	2156.4	43.4
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	"2003"	"2003"	2304	108444	2124.6	2037.8	2211.4	44.3
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	"2004"	"2004"	2167	107138	2022.6	1937.5	2107.8	43.4
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	"2005"	"2005"	2199	112306	1958.0	1876.2	2039.9	41.8
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	"2006"	"2006"	2092	111677	1873.3	1793.0	1953.5	41.0
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	"2007"	"2007"	2233	122888	1817.1	1741.7	1892.5	38.5
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	"2008"	"2008"	2141	120906	1770.8	1695.8	1845.8	38.3
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	"2009"	"2009"	2207	125329	1761.0	1687.5	1834.4	37.5
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	"2010"	"2010"	2246	135188	1661.4	1592.7	1730.1	35.1
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	"2011"	"2011"	2284	135808	1681.8	1612.8	1750.8	35.2
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	"2012"	"2012"	2301	142687	1612.6	1546.7	1678.5	33.6
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	"2013"	"2013"	2362	140981	1675.4	1607.8	1743.0	34.5
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	"2014"	"2014"	2727	173581	1571.0	1512.1	1630.0	30.1
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	"2015"	"2015"	2848	180822	1575.0	1517.2	1632.9	29.5
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	"2016"	"2016"	3191	187961	1697.7	1638.8	1756.6	30.1
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	"2017"	"2017"	3246	200146	1621.8	1566.0	1677.6	28.5
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	"2018"	"2018"	3397	203982	1665.3	1609.3	1721.3	28.6
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	"2019"	"2019"	3405	203398	1674.1	1617.8	1730.3	28.7
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	"2020 "	"2020"	4495	211641	2123.9	2061.8	2186.0	31.7
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	"1999"	"1999"	2240	94805	2362.7	2264.9	2460.6	49.9
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	"2000"	"2000"	2428	94377	2572.7	2470.3	2675.0	52.2
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	"2001"	"2001"	2463	101219	2433.3	2337.2	2529.4	49.0
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	"2002"	"2002"	2258	100430	2248.3	2155.6	2341.1	47.3
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	"2003"	"2003"	2293	108310	2117.1	2030.4	2203.7	44.2
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	"2004"	"2004"	2274	106721	2130.8	2043.2	2218.4	44.7
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	"2005"	"2005"	2286	105562	2165.6	2076.8	2254.3	45.3
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	"2006"	"2006"	2205	110737	1991.2	1908.1	2074.3	42.4
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	"2007"	"2007"	2138	110216	1939.8	1857.6	2022.1	42.0
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	"2008"	"2008"	2251	121384	1854.4	1777.8	1931.1	39.1
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	"2009"	"2009"	2272	119473	1901.7	1823.5	1979.9	39.9
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	"2010"	"2010"	2366	122796	1926.8	1849.1	2004.4	39.6
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	"2011"	"2011"	2370	134242	1765.5	1694.4	1836.5	36.3
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	"2012"	"2012"	2357	133706	1762.8	1691.7	1834.0	36.3
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	"2013"	"2013"	2470	140509	1757.9	1688.6	1827.2	35.4
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	"2014"	"2014"	2346	139283	1684.3	1616.2	1752.5	34.8
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	"2015"	"2015"	2889	170829	1691.2	1629.5	1752.8	31.5
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	"2016"	"2016"	3086	177782	1735.8	1674.6	1797.1	31.2
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	"2017"	"2017"	3261	185550	1757.5	1697.2	1817.8	30.8
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	"2018"	"2018"	3351	196522	1705.2	1647.4	1762.9	29.5
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	"2019"	"2019"	3497	200732	1742.1	1684.4	1799.9	29.5
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	"2020 "	"2020"	4474	199928	2237.8	2172.2	2303.4	33.5
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	"1999"	"1999"	2572	93693	2745.1	2639.0	2851.2	54.1
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	"2000"	"2000"	2428	94119	2579.7	2477.1	2682.3	52.4
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	"2001"	"2001"	2513	95330	2636.1	2533.0	2739.2	52.6
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	"2002"	"2002"	2501	98935	2527.9	2428.8	2627.0	50.5
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	"2003"	"2003"	2338	98222	2380.3	2283.8	2476.8	49.2
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	"2004"	"2004"	2331	105881	2201.5	2112.2	2290.9	45.6
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	"2005"	"2005"	2349	104251	2253.2	2162.1	2344.3	46.5
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	"2006"	"2006"	2301	102993	2234.1	2142.8	2325.4	46.6
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	"2007"	"2007"	2349	107978	2175.4	2087.5	2263.4	44.9
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	"2008"	"2008"	2292	107376	2134.6	2047.2	2221.9	44.6
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	"2009"	"2009"	2282	118242	1929.9	1850.8	2009.1	40.4
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	"2010"	"2010"	2410	115576	2085.2	2002.0	2168.5	42.5
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	"2011"	"2011"	2464	121224	2032.6	1952.3	2112.9	40.9
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	"2012"	"2012"	2505	131841	1900.0	1825.6	1974.4	38.0
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	"2013"	"2013"	2585	131416	1967.0	1891.2	2042.9	38.7
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	"2014"	"2014"	2625	138476	1895.6	1823.1	1968.2	37.0
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	"2015"	"2015"	2636	136906	1925.4	1851.9	1998.9	37.5
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	"2016"	"2016"	3155	167905	1879.0	1813.5	1944.6	33.5
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	"2017"	"2017"	3302	175101	1885.8	1821.4	1950.1	32.8
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	"2018"	"2018"	3400	181928	1868.9	1806.1	1931.7	32.1
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	"2019"	"2019"	3524	193150	1824.5	1764.2	1884.7	30.7
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	"2020 "	"2020"	4513	197165	2288.9	2222.2	2355.7	34.1
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	"1999"	"1999"	2651	96398	2750.1	2645.4	2854.7	53.4
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	"2000"	"2000"	2719	96711	2811.5	2705.8	2917.1	53.9
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	"2001"	"2001"	2417	90507	2670.5	2564.0	2777.0	54.3
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	"2002"	"2002"	2469	92937	2656.6	2551.8	2761.4	53.5
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	"2003"	"2003"	2557	96224	2657.3	2554.3	2760.3	52.6
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	"2004"	"2004"	2368	95367	2483.0	2383.0	2583.1	51.0
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	"2005"	"2005"	2521	102590	2457.4	2361.4	2553.3	48.9
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	"2006"	"2006"	2385	100765	2366.9	2271.9	2461.9	48.5
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	"2007"	"2007"	2318	99295	2334.5	2239.4	2429.5	48.5
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	"2008"	"2008"	2326	103891	2238.9	2147.9	2329.9	46.4
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	"2009"	"2009"	2342	103063	2272.4	2180.4	2364.4	47.0
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	"2010"	"2010"	2379	112413	2116.3	2031.3	2201.3	43.4
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	"2011"	"2011"	2477	115112	2151.8	2067.1	2236.6	43.2
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	"2012"	"2012"	2548	118690	2146.8	2063.4	2230.1	42.5
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	"2013"	"2013"	2632	129524	2032.1	1954.4	2109.7	39.6
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	"2014"	"2014"	2654	129274	2053.0	1974.9	2131.1	39.9
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	"2015"	"2015"	2731	135972	2008.5	1933.2	2083.8	38.4
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	"2016"	"2016"	2712	134408	2017.7	1941.8	2093.7	38.7
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	"2017"	"2017"	3204	165094	1940.7	1873.5	2007.9	34.3
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	"2018"	"2018"	3472	171579	2023.6	1956.2	2090.9	34.3
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	"2019"	"2019"	3565	178531	1996.9	1931.3	2062.4	33.4
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	"2020 "	"2020"	4701	189606	2479.4	2408.5	2550.2	36.2
	"Black or African American"	"2054-5"	"Female"	"F"	"71 years"	"71"	"1999"	"1999"	2724	88833	3066.4	2951.3	3181.6	58.8
