"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2010"	"2010"	35187	275593	12767.7
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2011"	"2011"	35835	284598	12591.4
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2012"	"2012"	36891	299097	12334.1
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2013"	"2013"	37498	309079	12132.2
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2014"	"2014"	37689	318456	11834.9
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2015"	"2015"	39251	328330	11954.7
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2016"	"2016"	39215	335598	11685.1
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2017"	"2017"	40183	345025	11646.4
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2018"	"2018"	40994	354052	11578.5
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2019"	"2019"	41162	360819	11407.9
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2020 "	"2020"	52687	369171	14271.7
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"1999"	"1999"	16	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2000"	"2000"	14	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2001"	"2001"	10	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2002"	"2002"	10	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2003"	"2003"	Suppressed	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2004"	"2004"	Suppressed	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2005"	"2005"	14	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2006"	"2006"	Suppressed	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2007"	"2007"	13	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2008"	"2008"	Suppressed	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2009"	"2009"	Suppressed	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2010"	"2010"	Suppressed	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2011"	"2011"	Suppressed	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2012"	"2012"	10	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2013"	"2013"	Suppressed	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2014"	"2014"	Suppressed	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2015"	"2015"	Suppressed	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2016"	"2016"	Suppressed	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2017"	"2017"	Suppressed	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	"2020 "	"2020"	Suppressed	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"1999"	"1999"	4765	288647	1650.8
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2000"	"2000"	4757	293061	1623.2
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2001"	"2001"	4651	305923	1520.3
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2002"	"2002"	4520	298109	1516.2
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2003"	"2003"	4601	293639	1566.9
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2004"	"2004"	4613	295174	1562.8
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2005"	"2005"	4665	295852	1576.8
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2006"	"2006"	4714	301673	1562.6
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2007"	"2007"	4794	317712	1508.9
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2008"	"2008"	4546	317859	1430.2
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2009"	"2009"	4522	311773	1450.4
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2010"	"2010"	3931	306745	1281.5
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2011"	"2011"	3885	316146	1228.9
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2012"	"2012"	3792	311273	1218.2
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2013"	"2013"	3698	310153	1192.3
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2014"	"2014"	3680	310364	1185.7
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2015"	"2015"	3815	313992	1215.0
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2016"	"2016"	3746	311234	1203.6
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2017"	"2017"	3760	309368	1215.4
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2018"	"2018"	3580	302160	1184.8
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2019"	"2019"	3477	296282	1173.5
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	"2020 "	"2020"	3314	300818	1101.7
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"1999"	"1999"	734	1192859	61.5
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2000"	"2000"	672	1197035	56.1
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2001"	"2001"	655	1183503	55.3
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2002"	"2002"	681	1191655	57.1
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2003"	"2003"	681	1192641	57.1
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2004"	"2004"	623	1193287	52.2
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2005"	"2005"	606	1194518	50.7
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2006"	"2006"	612	1186672	51.6
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2007"	"2007"	609	1192359	51.1
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2008"	"2008"	619	1218361	50.8
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2009"	"2009"	561	1242823	45.1
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2010"	"2010"	570	1255739	45.4
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2011"	"2011"	575	1258786	45.7
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2012"	"2012"	563	1252341	45.0
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2013"	"2013"	538	1241198	43.3
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2014"	"2014"	560	1241447	45.1
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2015"	"2015"	608	1242287	48.9
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2016"	"2016"	575	1244085	46.2
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2017"	"2017"	535	1246451	42.9
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2018"	"2018"	574	1243447	46.2
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2019"	"2019"	506	1225510	41.3
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	"2020 "	"2020"	553	1230226	45.0
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"1999"	"1999"	1081	3266786	33.1
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2000"	"2000"	959	3290079	29.1
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2001"	"2001"	941	3304182	28.5
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2002"	"2002"	977	3305780	29.6
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2003"	"2003"	911	3298199	27.6
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2004"	"2004"	870	3273364	26.6
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2005"	"2005"	885	3232274	27.4
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2006"	"2006"	814	3206712	25.4
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2007"	"2007"	801	3180107	25.2
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2008"	"2008"	750	3151764	23.8
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2009"	"2009"	735	3138490	23.4
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2010"	"2010"	649	3136109	20.7
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2011"	"2011"	684	3129328	21.9
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2012"	"2012"	707	3140114	22.5
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2013"	"2013"	653	3144780	20.8
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2014"	"2014"	701	3146635	22.3
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2015"	"2015"	703	3136487	22.4
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2016"	"2016"	701	3134000	22.4
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2017"	"2017"	784	3142997	24.9
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2018"	"2018"	740	3156980	23.4
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2019"	"2019"	760	3164694	24.0
	"Black or African American"	"2054-5"	"Male"	"M"	"5-14 years"	"5-14"	"2020 "	"2020"	878	3182224	27.6
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"1999"	"1999"	5286	2761490	191.4
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2000"	"2000"	5224	2790462	187.2
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2001"	"2001"	5377	2889333	186.1
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2002"	"2002"	5248	2954659	177.6
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2003"	"2003"	5343	3011309	177.4
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2004"	"2004"	5239	3083806	169.9
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2005"	"2005"	5615	3152728	178.1
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2006"	"2006"	5691	3215782	177.0
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2007"	"2007"	5635	3262016	172.7
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2008"	"2008"	5423	3302084	164.2
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2009"	"2009"	4985	3329214	149.7
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2010"	"2010"	5033	3336709	150.8
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2011"	"2011"	5040	3392008	148.6
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2012"	"2012"	5028	3431874	146.5
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2013"	"2013"	4957	3450319	143.7
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2014"	"2014"	4935	3458870	142.7
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2015"	"2015"	5486	3445451	159.2
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2016"	"2016"	5909	3403782	173.6
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2017"	"2017"	5711	3358458	170.0
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2018"	"2018"	5380	3298478	163.1
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2019"	"2019"	5598	3253059	172.1
	"Black or African American"	"2054-5"	"Male"	"M"	"15-24 years"	"15-24"	"2020 "	"2020"	7561	3227129	234.3
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"1999"	"1999"	6633	2475549	267.9
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2000"	"2000"	6649	2461099	270.2
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2001"	"2001"	6548	2417609	270.8
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2002"	"2002"	6723	2405197	279.5
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2003"	"2003"	6592	2390447	275.8
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2004"	"2004"	6564	2406312	272.8
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2005"	"2005"	6706	2415631	277.6
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2006"	"2006"	6828	2432795	280.7
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2007"	"2007"	6538	2460943	265.7
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2008"	"2008"	6248	2502166	249.7
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2009"	"2009"	6112	2551525	239.5
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2010"	"2010"	5971	2587488	230.8
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2011"	"2011"	6018	2654382	226.7
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2012"	"2012"	6155	2716569	226.6
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2013"	"2013"	6489	2784499	233.0
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2014"	"2014"	6498	2879162	225.7
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2015"	"2015"	7229	2973697	243.1
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2016"	"2016"	8106	3080638	263.1
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2017"	"2017"	8552	3196998	267.5
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2018"	"2018"	8591	3297930	260.5
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2019"	"2019"	9010	3384452	266.2
	"Black or African American"	"2054-5"	"Male"	"M"	"25-34 years"	"25-34"	"2020 "	"2020"	12417	3447824	360.1
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"1999"	"1999"	12384	2582569	479.5
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2000"	"2000"	12061	2606831	462.7
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2001"	"2001"	11971	2626810	455.7
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2002"	"2002"	11661	2613610	446.2
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2003"	"2003"	11405	2594620	439.6
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2004"	"2004"	10552	2580376	408.9
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2005"	"2005"	10451	2567934	407.0
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2006"	"2006"	10363	2568722	403.4
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2007"	"2007"	9981	2558919	390.0
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2008"	"2008"	9070	2539823	357.1
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2009"	"2009"	8826	2506688	352.1
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2010"	"2010"	7975	2483766	321.1
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2011"	"2011"	7869	2450393	321.1
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2012"	"2012"	7905	2451581	322.4
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2013"	"2013"	8105	2454816	330.2
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2014"	"2014"	8066	2478026	325.5
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2015"	"2015"	8610	2498259	344.6
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2016"	"2016"	9316	2502760	372.2
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2017"	"2017"	9721	2534092	383.6
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2018"	"2018"	9976	2565382	388.9
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2019"	"2019"	10544	2602104	405.2
	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2020 "	"2020"	14008	2649354	528.7
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"1999"	"1999"	19026	1815245	1048.1
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2000"	"2000"	19647	1896006	1036.2
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2001"	"2001"	20307	2018023	1006.3
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2002"	"2002"	20839	2099359	992.6
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2003"	"2003"	21708	2176117	997.6
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2004"	"2004"	21449	2248775	953.8
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2005"	"2005"	21946	2321969	945.1
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2006"	"2006"	21829	2386684	914.6
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2007"	"2007"	21260	2451857	867.1
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2008"	"2008"	20404	2509773	813.0
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2009"	"2009"	20066	2559687	783.9
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2010"	"2010"	19146	2590315	739.1
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2011"	"2011"	18938	2593939	730.1
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2012"	"2012"	18577	2580039	720.0
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2013"	"2013"	18072	2561168	705.6
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2014"	"2014"	17668	2543801	694.6
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2015"	"2015"	17812	2531669	703.6
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2016"	"2016"	18033	2520089	715.6
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2017"	"2017"	18181	2509125	724.6
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2018"	"2018"	18216	2475578	735.8
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2019"	"2019"	17997	2437980	738.2
	"Black or African American"	"2054-5"	"Male"	"M"	"45-54 years"	"45-54"	"2020 "	"2020"	23225	2408645	964.2
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"1999"	"1999"	22493	1033331	2176.7
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2000"	"2000"	22402	1060995	2111.4
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2001"	"2001"	22600	1100021	2054.5
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2002"	"2002"	23706	1160749	2042.3
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2003"	"2003"	24468	1224968	1997.4
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2004"	"2004"	25050	1297335	1930.9
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2005"	"2005"	26396	1377749	1915.9
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2006"	"2006"	26929	1457875	1847.1
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2007"	"2007"	27823	1532433	1815.6
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2008"	"2008"	28344	1606901	1763.9
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2009"	"2009"	29527	1692524	1744.6
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2010"	"2010"	30138	1767574	1705.0
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2011"	"2011"	31271	1875124	1667.7
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2012"	"2012"	32243	1945605	1657.2
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2013"	"2013"	33644	2011942	1672.2
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2014"	"2014"	34268	2076375	1650.4
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2015"	"2015"	35443	2139272	1656.8
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2016"	"2016"	36501	2188564	1667.8
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2017"	"2017"	37552	2239726	1676.6
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2018"	"2018"	38054	2275130	1672.6
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2019"	"2019"	38468	2305314	1668.7
	"Black or African American"	"2054-5"	"Male"	"M"	"55-64 years"	"55-64"	"2020 "	"2020"	48903	2323764	2104.5
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"1999"	"1999"	29259	665317	4397.8
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2000"	"2000"	28745	667889	4303.9
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2001"	"2001"	28446	684172	4157.7
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2002"	"2002"	27859	696024	4002.6
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2003"	"2003"	27957	711137	3931.3
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2004"	"2004"	27228	725749	3751.7
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2005"	"2005"	27303	743974	3669.9
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2006"	"2006"	27265	762625	3575.2
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2007"	"2007"	27377	782797	3497.3
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2008"	"2008"	27653	809574	3415.7
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2009"	"2009"	27768	836228	3320.6
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2010"	"2010"	28060	856880	3274.7
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2011"	"2011"	28597	892727	3203.3
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2012"	"2012"	29731	944880	3146.5
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2013"	"2013"	31433	1001955	3137.2
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2014"	"2014"	32962	1059696	3110.5
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2015"	"2015"	34867	1121377	3109.3
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2016"	"2016"	37301	1181842	3156.2
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2017"	"2017"	39396	1239268	3179.0
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2018"	"2018"	41474	1290797	3213.1
	"Black or African American"	"2054-5"	"Male"	"M"	"65-74 years"	"65-74"	"2019"	"2019"	42952	1350622	3180.2
